,Intensity
-7.86E-05,-0.56501961
2.18E-07,-0.2905098
9.60E-05,-0.25913725
0.00036601,-0.25129412
0.0008102,-0.37678431
0.00142856,0.39968627
0.00222112,-2.3140392
0.00318787,-2.6983529
0.00432881,-3.3101176
0.00564393,-3.670902
0.00713324,-3.670902
0.00879674,-3.670902
0.01063443,-3.670902
0.01264631,-3.6677335
0.01483238,-3.6564475
0.01719263,-0.57822052
0.01972708,4.6100847
0.02243571,9.5163113
0.02531853,6.124773
0.02837554,4.0040973
0.03160674,8.0405587
0.03501213,2.571412
0.0385917,-3.564127
0.04234547,-3.1268426
0.04627342,4.4009121
0.05037556,2.2348235
0.05465189,0.076852453
0.05910241,0.27209686
0.06372712,0.27938031
0.06852602,-2.8111011
0.0734991,-0.44248471
0.07864638,7.4401315
0.08396784,9.4955711
0.08946349,3.7630497
0.09513333,-2.635864
0.10097736,-3.528621
0.10699557,-3.5191429
0.11318798,-3.5093905
0.11955457,-2.4954422
0.12609535,-0.59494506
0.13281032,-1.0471148
0.13969948,-1.2323435
0.14676283,0.60623157
0.15400037,1.8803751
0.16141209,3.3744007
0.16899801,2.4137987
0.17675811,1.5868044
0.1846924,2.391457
0.19280088,2.059129
0.20108355,-0.30429723
0.20954041,-2.5498021
0.21817145,-1.846013
0.22697669,0.34824654
0.23595611,1.7663098
0.24510972,1.7571964
0.25443752,1.1993377
0.26393951,1.8652828
0.27361569,0.94718843
0.28346605,-1.6647492
0.29349061,-1.5626871
0.30368935,-1.6485858
0.31406228,-2.8244064
0.3246094,-3.0038742
0.33533071,-1.4654206
0.34622621,-0.18551618
0.3572959,0.75740765
0.36853977,2.2339391
0.37995783,1.6479999
0.39155009,1.6191977
0.40331653,1.5671404
0.41525716,1.9781025
0.42737197,2.2638488
0.43966098,1.6322224
0.45212418,1.9185173
0.46476156,1.318812
0.47757313,0.20957721
0.49055889,-0.028795063
0.50371884,-0.58846163
0.51705298,-0.8576578
0.53056131,-0.85206982
0.54424382,-0.25012909
0.55810053,0.33639969
0.57213142,-0.12777758
0.5863365,0.16126065
0.60071577,0.48194576
0.61526923,0.4891797
0.62999688,0.73982524
0.64489871,1.0456471
0.65997473,0.79311892
0.67522495,0.61900428
0.69064935,0.37428352
0.70624794,-0.1998669
0.72202072,-0.55442735
0.73796769,-0.64233901
0.75408884,-0.98909209
0.77038419,-0.62213756
0.78685372,-0.46696562
0.80349744,-0.75887038
0.82031535,0.047246184
0.83730745,-0.23685121
0.85447374,-0.089593936
0.87181421,0.25372389
0.88932888,0.56565128
0.90701773,0.42265882
0.92488077,0.45219751
0.942918,0.83465948
0.96112942,0.67592711
0.97951503,0.2112945
0.99807483,1.0564479
1.0168088,0.69374033
1.035717,0.68395603
1.0547993,1.3957225
1.0740559,1.189824
1.0934866,1.1015547
1.1130916,1.1073851
1.1328707,0.99555062
1.152824,0.85232569
1.1729515,0.65418092
1.1932532,0.88739081
1.213729,0.94019067
1.2343791,0.8361099
1.2552033,1.1006387
1.2762018,1.3494633
1.2973744,1.080623
1.3187212,1.2039217
1.3402422,1.2644574
1.3619374,0.95634777
1.3838068,1.0246908
1.4058504,1.0773298
1.4280681,1.1848527
1.4504601,1.2609853
1.4730262,1.2116098
1.4957665,1.0916281
1.518681,0.84613842
1.5417697,0.6163171
1.5650326,0.38647789
1.5884697,0.1566208
1.612081,0.24047132
1.6358664,-0.020794086
1.6598261,-0.06246953
1.6839599,0.15466067
1.7082679,0.19138084
1.7327501,0.28298508
1.7574065,0.41378712
1.7822371,0.48966932
1.8072419,0.54200423
1.8324209,0.76687027
1.857774,0.50544393
1.8833013,0.59694087
1.9090029,0.45312582
1.9348786,0.2936066
1.9609285,0.21250088
1.9871526,0.021573356
2.0135509,0.18356912
2.0401234,0.1965274
2.06687,0.19378152
2.0937909,0.46552756
2.1208859,0.44705964
2.1481551,0.53053462
2.1755985,0.41791329
2.2032161,0.53272506
2.2310079,0.365166
2.2589739,0.36229494
2.2871141,0.4221511
2.3154285,0.30159721
2.343917,0.55749604
2.3725797,0.42906325
2.4014167,0.44178905
2.4304278,0.57998717
2.4596131,0.36522623
2.4889726,0.64456505
2.5185062,0.32780756
2.5482141,0.51299296
2.5780962,0.36874873
2.6081524,0.27938857
2.6383828,0.2684419
2.6687875,0.1006146
2.6993663,0.23865177
2.7301193,0.10216125
2.7610465,0.11467247
2.7921478,0.095793245
2.8234234,0.21022947
2.8548732,0.065824293
2.8864971,0.08610711
2.9182952,0.34166616
2.9502676,-0.069459334
2.9824141,0.091946306
3.0147348,0.33960857
3.0472296,0.24215492
3.0798987,0.33291868
3.112742,0.61974298
3.1457594,0.40458862
3.1789511,0.51882814
3.2123169,0.42912821
3.2458569,0.70803785
3.2795711,0.59477274
3.3134595,0.73247014
3.3475221,0.84662025
3.3817589,0.82741914
3.4161698,0.63565113
3.450755,0.84386524
3.4855143,0.69912029
3.5204478,0.89161235
3.5555556,0.68408654
3.5908375,0.71968009
3.6262936,0.79447145
3.6619238,0.57904885
3.6977283,0.75576523
3.733707,0.61873824
3.7698598,0.62286983
3.8061868,0.66619923
3.8426881,0.6153931
3.8793635,0.77633379
3.9162131,0.56862915
3.9532369,0.57267133
3.9904348,0.74140151
4.027807,0.4238393
4.0653534,0.57684744
4.1030739,0.56513181
4.1409686,0.39653556
4.1790376,0.29850966
4.2172807,0.36517176
4.255698,0.29063951
4.2942895,0.16118742
4.3330551,0.35328606
4.371995,0.12968056
4.411109,0.078606184
4.4503973,0.20790609
4.4898597,0.031305754
4.5294963,0.097824793
4.5693071,-0.055281893
4.6092921,0.019044518
4.6494513,-0.039980286
4.6897847,-0.10686611
4.7302923,-0.001220798
4.770974,-0.0916718
4.8118299,-0.12723872
4.8528601,0.064627451
4.8940644,0.015948113
4.9354429,-0.079796898
4.9769956,-0.010842878
5.0187225,-0.043856493
5.0606235,-0.084720096
5.1026988,-0.023629765
5.1449482,-0.056663932
5.1873719,0.051471522
5.2299697,0.081168752
5.2727417,0.079486582
5.3156879,0.022895601
5.3588083,0.036886005
5.4021029,-0.004032403
5.4455717,-0.013585112
5.4892146,0.13371807
5.5330318,0.061406564
5.5770231,0.091048989
5.6211886,0.14421398
5.6655283,0.15031329
5.7100422,0.14856261
5.7547303,0.16249136
5.7995926,0.23131522
5.8446291,0.13542634
5.8898397,0.23560905
5.9352245,0.15539275
5.9807836,0.25556175
6.0265168,0.19886116
6.0724242,0.23627137
6.1185058,0.10896884
6.1647616,0.39734574
6.2111916,0.13669617
6.2577957,0.30741231
6.3045741,0.28204317
6.3515266,0.26451031
6.3986533,0.17638236
6.4459543,0.39412992
6.4934294,0.21971376
6.5410787,0.15509468
6.5889021,0.23948835
6.6368998,0.17485556
6.6850717,0.3141375
6.7334177,0.21027532
6.781938,0.28679845
6.8306324,0.19860885
6.879501,0.25158887
6.9285438,0.18691498
6.9777608,0.26341071
7.027152,0.44186038
7.0767174,0.047754171
7.1264569,0.34383719
7.1763707,0.25559964
7.2264586,0.049708174
7.2767207,0.42420202
7.327157,0.10064979
7.3777675,0.3417966
7.4285522,0.17509342
7.4795111,0.14955986
7.5306442,0.32009788
7.5819514,0.051413362
7.6334329,0.19056513
7.6850885,0.13363162
7.7369183,0.16296577
7.7889223,0.15307738
7.8411005,0.18239782
7.8934529,0.1019075
7.9459795,0.10768483
7.9986802,0.11345531
8.0515552,0.048630709
8.1046043,0.05438749
8.1578277,-0.018293952
8.2112252,0.01097854
8.2647969,0.016714769
8.3185428,0.077346108
8.3724629,0.020323538
8.4265572,0.002509804
8.4808256,-0.013417406
8.5352683,0.096144807
8.5898851,0.033157227
8.6446761,-0.037674263
8.6996413,-0.077133978
8.7547808,-0.07737878
8.8100943,-0.061938081
8.8655821,-0.085713841
8.9212441,-0.038902139
8.9770803,-0.19601278
9.0330906,-0.023712429
9.0892751,-0.24356971
