,Intensity
-7.86E-05,-0.53427451
2.18E-07,-0.33035294
9.60E-05,-0.12643137
0.00036601,-0.60486275
0.0008102,0.46180392
0.00142856,0.4774902
0.00222112,-2.4166275
0.00318787,-1.993098
0.00432881,-3.1774118
0.00564393,-3.8127059
0.00713324,-3.3499608
0.00879674,-3.8519216
0.01063443,-3.4989804
0.01264631,-3.731308
0.01483238,-3.7516141
0.01719263,-0.40695746
0.01972708,4.2242305
0.02243571,9.7733224
0.02531853,5.9893378
0.02837554,3.8526689
0.03160674,8.1554725
0.03501213,1.9801015
0.0385917,-3.6930518
0.04234547,-2.7306542
0.04627342,3.4006277
0.05037556,1.8302057
0.05465189,0.98160914
0.05910241,0.65875962
0.06372712,-0.28344091
0.06852602,-1.3665611
0.0734991,-0.39452242
0.07864638,6.0522829
0.08396784,9.7385607
0.08946349,3.1662718
0.09513333,-3.107721
0.10097736,-3.5932217
0.10699557,-3.5451322
0.11318798,-3.614433
0.11955457,-2.0207318
0.12609535,-0.16795022
0.13281032,0.085088182
0.13969948,-0.94789108
0.14676283,0.33311198
0.15400037,2.0849601
0.16141209,2.5586337
0.16899801,1.3619759
0.17675811,1.5067515
0.1846924,1.5184505
0.19280088,1.8676612
0.20108355,0.49163865
0.20954041,-2.0605977
0.21817145,-1.059636
0.22697669,0.85138643
0.23595611,2.095999
0.24510972,1.199692
0.25443752,0.67226928
0.26393951,1.5647112
0.27361569,-0.49945273
0.28346605,-1.8104187
0.29349061,-1.6779905
0.30368935,-1.7021683
0.31406228,-2.4241284
0.3246094,-2.6595572
0.33533071,-0.96531735
0.34622621,0.070355788
0.3572959,0.776874
0.36853977,1.5542373
0.37995783,1.3279358
0.39155009,1.1567932
0.40331653,1.2212015
0.41525716,1.9760627
0.42737197,2.2762788
0.43966098,2.3414577
0.45212418,2.446109
0.46476156,1.8921937
0.47757313,0.76598616
0.49055889,0.087094306
0.50371884,-0.89742306
0.51705298,-1.6699189
0.53056131,-1.4617657
0.54424382,-1.0102184
0.55810053,-0.62900257
0.57213142,-0.26321614
0.5863365,-0.17168267
0.60071577,0.32795078
0.61526923,0.80431165
0.62999688,1.0691647
0.64489871,0.98917647
0.65997473,1.1760382
0.67522495,0.8060214
0.69064935,0.59285143
0.70624794,-0.083079508
0.72202072,-0.31981063
0.73796769,-0.24283213
0.75408884,-0.47175185
0.77038419,-0.41049136
0.78685372,-0.043364394
0.80349744,-0.1625278
0.82031535,-0.31307963
0.83730745,-0.22051008
0.85447374,-0.44168188
0.87181421,-0.92169308
0.88932888,-0.51544564
0.90701773,-0.24254741
0.92488077,-0.51868465
0.942918,0.11496616
0.96112942,0.12115012
0.97951503,0.29202409
0.99807483,0.6119018
1.0168088,1.0886264
1.035717,1.4712175
1.0547993,1.2341848
1.0740559,1.7736069
1.0934866,1.622817
1.1130916,1.1033838
1.1328707,1.4780524
1.152824,1.0213326
1.1729515,1.0822439
1.1932532,1.1901982
1.213729,1.1961759
1.2343791,1.1864514
1.2552033,1.0276914
1.2762018,1.0179352
1.2973744,0.91404543
1.3187212,0.70817903
1.3402422,0.9101399
1.3619374,0.90816332
1.3838068,0.89048461
1.4058504,1.0374959
1.4280681,0.9884129
1.4504601,1.2138238
1.4730262,1.1803954
1.4957665,1.0214608
1.518681,0.76839277
1.5417697,0.53099512
1.5650326,0.45044435
1.5884697,0.14242672
1.612081,0.10890304
1.6358664,0.27144191
1.6598261,-0.020937048
1.6839599,0.32196224
1.7082679,0.24915939
1.7327501,0.23124263
1.7574065,0.52703549
1.7822371,0.30516541
1.8072419,0.45190693
1.8324209,0.53588747
1.857774,0.32181293
1.8833013,0.53909506
1.9090029,0.33283192
1.9348786,0.24419996
1.9609285,0.24182665
1.9871526,0.074731581
2.0135509,0.26056182
2.0401234,0.23461148
2.06687,0.14590018
2.0937909,0.36305536
2.1208859,0.28999859
2.1481551,0.31888674
2.1755985,0.30854333
2.2032161,0.23543895
2.2310079,0.23290694
2.2589739,0.34800611
2.2871141,0.38465805
2.3154285,0.55462744
2.343917,0.62262019
2.3725797,0.61216569
2.4014167,0.49973454
2.4304278,0.52846399
2.4596131,0.44737364
2.4889726,0.43685567
2.5185062,0.35573358
2.5482141,0.28243877
2.5780962,0.31893201
2.6081524,0.33187996
2.6383828,0.29775323
2.6687875,0.35772827
2.6993663,0.33141293
2.7301193,0.14037583
2.7610465,0.10618562
2.7921478,0.095508944
2.8234234,-0.079889482
2.8548732,0.23881387
2.8864971,0.11044253
2.9182952,0.068329825
2.9502676,0.26149537
2.9824141,0.14091956
3.0147348,0.22424944
3.0472296,0.44089679
3.0798987,0.1790969
3.112742,0.59179094
3.1457594,0.26721421
3.1789511,0.51517062
3.2123169,0.53566019
3.2458569,0.19534958
3.2795711,0.56874858
3.3134595,0.29115133
3.3475221,0.84491075
3.3817589,0.39473274
3.4161698,0.64257807
3.450755,1.031584
3.4855143,0.49508386
3.5204478,0.90758747
3.5555556,0.75536932
3.5908375,0.46980197
3.6262936,0.90578737
3.6619238,0.63587456
3.6977283,0.92280862
3.733707,0.535217
3.7698598,0.72800168
3.8061868,0.82665283
3.8426881,0.54881753
3.8793635,0.92978989
3.9162131,0.70682481
3.9532369,0.51521641
3.9904348,0.70006272
4.027807,0.42999121
4.0653534,0.52853128
4.1030739,0.45450646
4.1409686,0.34909322
4.1790376,0.40052685
4.2172807,0.34998383
4.255698,0.19746416
4.2942895,0.31943842
4.3330551,0.15904387
4.371995,0.18686875
4.411109,0.08134442
4.4503973,0.077765007
4.4898597,0.11338541
4.5294963,0.031342885
4.5693071,-0.027186098
4.6092921,-0.007299579
4.6494513,-0.034487753
4.6897847,-0.006789835
4.7302923,-0.065382297
4.770974,-0.069088668
4.8118299,0.09973811
4.8528601,-0.092235294
4.8940644,0.086467622
4.9354429,-0.10346405
4.9769956,-0.081638167
5.0187225,0.057827639
5.0606235,-0.14781174
5.1026988,0.12497312
5.1449482,-0.057151123
5.1873719,-0.011831529
