,Intensity
-7.86E-05,-0.50070588
2.18E-07,-0.30462745
9.60E-05,-0.11639216
0.00036601,-0.68109804
0.0008102,0.32282353
0.00142856,0.36203922
0.00222112,-2.1948235
0.00318787,-2.108549
0.00432881,-3.4026667
0.00564393,-4.0065882
0.00713324,-4.0536471
0.00879674,-4.0693333
0.01063443,-3.9438431
0.01264631,-4.0355297
0.01483238,-3.6564175
0.01719263,-0.71238894
0.01972708,4.5926344
0.02243571,10.133162
0.02531853,6.481744
0.02837554,4.1717125
0.03160674,7.9089503
0.03501213,3.2150261
0.0385917,-3.9492759
0.04234547,-3.1917987
0.04627342,3.9894183
0.05037556,1.9159439
0.05465189,0.19562113
0.05910241,0.56178336
0.06372712,-1.0247851
0.06852602,-2.6895745
0.0734991,-1.8365063
0.07864638,5.5187332
0.08396784,10.599673
0.08946349,5.2102357
0.09513333,-1.4103639
0.10097736,-3.8033021
0.10699557,-3.9372063
0.11318798,-3.9610961
0.11955457,-2.9573244
0.12609535,-0.75334224
0.13281032,-0.47856135
0.13969948,-1.6310209
0.14676283,-0.07738771
0.15400037,1.8137109
0.16141209,4.0187455
0.16899801,2.9847749
0.17675811,2.9000344
0.1846924,2.4155044
0.19280088,1.59393
0.20108355,-0.00390458
0.20954041,-2.4015286
0.21817145,-1.8028638
0.22697669,0.082286093
0.23595611,1.02647
0.24510972,1.3277271
0.25443752,1.2762535
0.26393951,2.4485198
0.27361569,0.98570249
0.28346605,-1.1200416
0.29349061,-1.6334183
0.30368935,-1.8485454
0.31406228,-2.7065992
0.3246094,-3.2115013
0.33533071,-1.9593302
0.34622621,-0.51871338
0.3572959,0.49858456
0.36853977,1.9239361
0.37995783,1.7573413
0.39155009,1.5674276
0.40331653,1.5502733
0.41525716,1.7137217
0.42737197,1.9009101
0.43966098,1.813799
0.45212418,1.8837613
0.46476156,1.3813849
0.47757313,0.55765049
0.49055889,-0.093324461
0.50371884,-0.49310853
0.51705298,-0.75150565
0.53056131,-0.59400601
0.54424382,-0.31864882
0.55810053,-0.30190468
0.57213142,-0.1908324
0.5863365,-0.48739277
0.60071577,-0.10138972
0.61526923,0.22992186
0.62999688,0.53791451
0.64489871,0.70494118
0.65997473,1.0803035
0.67522495,1.0242805
0.69064935,0.81922504
0.70624794,0.55925484
0.72202072,-0.16347327
0.73796769,0.023589737
0.75408884,-0.52661496
0.77038419,-0.62977364
0.78685372,-0.53686669
0.80349744,-0.24789412
0.82031535,-1.0726598
0.83730745,-0.46214425
0.85447374,-0.29085714
0.87181421,-0.64507304
0.88932888,-0.54439979
0.90701773,0.46606458
0.92488077,-0.11564071
0.942918,-0.10128038
0.96112942,0.32875342
0.97951503,0.35877442
0.99807483,0.3025081
1.0168088,0.66191525
1.035717,1.3428782
1.0547993,0.80814212
1.0740559,1.3714324
1.0934866,1.8170629
1.1130916,1.1175825
1.1328707,1.4612265
1.152824,1.3891715
1.1729515,0.95631933
1.1932532,1.1352191
1.213729,0.76508642
1.2343791,1.0459213
1.2552033,0.77772386
1.2762018,0.93304298
1.2973744,1.3863885
1.3187212,1.0789369
1.3402422,1.0067666
1.3619374,0.91889729
1.3838068,0.61140729
1.4058504,0.83723781
1.4280681,0.90619279
1.4504601,0.920233
1.4730262,0.89504472
1.4957665,0.86200049
1.518681,0.79757092
1.5417697,0.52136383
1.5650326,0.5118106
1.5884697,0.38459751
1.612081,0.18678338
1.6358664,0.21640743
