,Intensity
-7.86E-05,-0.48188235
2.18E-07,-0.3014902
9.60E-05,-0.16031373
0.00036601,-0.46619608
0.0008102,-0.27796078
0.00142856,0.71811765
0.00222112,-2.3799216
0.00318787,-2.3093333
0.00432881,-3.321098
0.00564393,-3.7054118
0.00713324,-3.721098
0.00879674,-3.7995294
0.01063443,-3.6191373
0.01264631,-3.7967938
0.01483238,-3.6526448
0.01719263,-0.70825905
0.01972708,4.4638146
0.02243571,9.6125956
0.02531853,6.2596528
0.02837554,3.9579271
0.03160674,8.0172227
0.03501213,2.5395001
0.0385917,-3.5654365
0.04234547,-2.8309206
0.04627342,3.8097145
0.05037556,1.6113707
0.05465189,0.88777365
0.05910241,0.11735459
0.06372712,-0.48812174
0.06852602,-1.6659102
0.0734991,-0.60032463
0.07864638,6.073341
0.08396784,9.9707728
0.08946349,3.7037356
0.09513333,-2.8297313
0.10097736,-3.621785
0.10699557,-3.5743861
0.11318798,-3.5894955
0.11955457,-2.4749563
0.12609535,-0.37194492
0.13281032,0.13130331
0.13969948,-1.1377606
0.14676283,0.15027503
0.15400037,2.0424691
0.16141209,3.1662726
0.16899801,1.8746266
0.17675811,1.7753744
0.1846924,1.7861629
0.19280088,1.608953
0.20108355,0.082960341
0.20954041,-2.1329916
0.21817145,-1.3604713
0.22697669,0.9495407
0.23595611,2.0127307
0.24510972,1.4212556
0.25443752,0.79080172
0.26393951,1.8468592
0.27361569,-0.092924973
0.28346605,-1.6795311
0.29349061,-1.9090376
0.30368935,-1.8873269
0.31406228,-2.5006734
0.3246094,-2.9490772
0.33533071,-1.0599893
0.34622621,-0.1196841
0.3572959,0.82085794
0.36853977,1.7224211
0.37995783,1.3065741
0.39155009,1.2674346
0.40331653,1.181473
0.41525716,1.6604542
0.42737197,1.8259468
0.43966098,1.9054017
0.45212418,2.1733287
0.46476156,1.6179632
0.47757313,0.94518743
0.49055889,0.22558972
0.50371884,-0.66632016
0.51705298,-0.97760103
0.53056131,-1.1004098
0.54424382,-0.57984437
0.55810053,-0.33355195
0.57213142,-0.18114032
0.5863365,-0.22457027
0.60071577,0.061648396
